Sunbird's Invocation, -Scroll Rack +Sunbird's on lorehold_v16 as printed, T20, N=30,000 paired, seeds 5000..
(diagnostics/run_sunbird_bisect.py at each commit), 2026-09-25. * = interval excludes zero.

commit                 S-A      step from previous (paired)      from d158724 (paired)
d158724   +0.0152 +-0.0028
5cdc015   +0.0133 +-0.0027   -0.0019 +-0.0024            -0.0019 +-0.0024
fe9d4af   +0.0106 +-0.0028   -0.0027 +-0.0029            -0.0046 +-0.0032 *
682a1c8   +0.0116 +-0.0029   +0.0010 +-0.0025            -0.0036 +-0.0034 *
b09055c   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
9cfd3fb   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
dadc7f2   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
af016c1   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
9f226af   +0.0116 +-0.0029   +0.0001 +-0.0001            -0.0036 +-0.0034 *
774b8ef   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
c6d604a   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
10d7b76   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
246b148   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
42015bb   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
cdbc6f7   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
7e4fe90   +0.0116 +-0.0029   +0.0000 +-0.0000            -0.0036 +-0.0034 *
ef641ae   +0.0106 +-0.0029   -0.0011 +-0.0008 *          -0.0046 +-0.0034 *
c9e83a1   +0.0109 +-0.0029   +0.0003 +-0.0006            -0.0043 +-0.0034 *
66ccc1b   +0.0109 +-0.0029   +0.0000 +-0.0000            -0.0043 +-0.0034 *
6a0e786   +0.0109 +-0.0029   +0.0000 +-0.0000            -0.0043 +-0.0034 *
f5ccbbb   +0.0102 +-0.0029   -0.0007 +-0.0021            -0.0050 +-0.0036 *
6b4546e   +0.0118 +-0.0028   +0.0016 +-0.0016 *          -0.0034 +-0.0035
